IDX,District,Date,Confirmed,Recovered,Active,Death,absconded
1,TSR,30-01-2020,1,0,1,0,
2,ALP,02-02-2020,1,0,1,0,
3,KGD,03-02-2020,1,0,1,0,
4,ALP,16-02-2020,0,1,0,0,
5,KGD,16-02-2020,0,1,0,0,
6,TSR,20-02-2020,0,1,0,0,
7,KNR,09-03-2020,1,0,1,0,
8,PTA,09-03-2020,5,0,5,0,
9,KNR,10-03-2020,2,0,3,0,
10,KTM,10-03-2020,2,0,2,0,
11,PTA,10-03-2020,4,0,9,0,
12,KNR,12-03-2020,1,0,4,0,
13,TSR,12-03-2020,1,0,1,0,
14,TVM,13-03-2020,3,0,3,0,
15,IDK,15-03-2020,1,0,1,0,
16,TVM,15-03-2020,1,0,4,0,
17,KGD,16-03-2020,1,0,1,0,
18,MPM,16-03-2020,2,0,2,0,
19,KGD,19-03-2020,1,0,2,0,
20,EKM,20-03-2020,6,0,6,0,
21,KGD,20-03-2020,6,0,8,0,
22,EKM,21-03-2020,3,0,9,0,
23,KGD,21-03-2020,6,0,14,0,
24,KNR,21-03-2020,3,0,7,0,
25,EKM,22-03-2020,2,0,11,0,
26,KGD,22-03-2020,5,0,19,0,
27,KKD,22-03-2020,2,0,2,0,
28,KNR,22-03-2020,4,0,11,0,
29,MPM,22-03-2020,2,0,4,0,
30,EKM,23-03-2020,2,0,13,0,
31,KGD,23-03-2020,19,0,38,0,
32,KNR,23-03-2020,5,1,15,0,
33,PTA,23-03-2020,1,0,10,0,
34,TSR,23-03-2020,1,0,2,0,
35,ALP,24-03-2020,1,0,1,0,
36,EKM,24-03-2020,1,0,14,0,
37,KGD,24-03-2020,6,0,44,0,
38,KKD,24-03-2020,2,0,4,0,
39,KTM,24-03-2020,1,0,3,0,
40,MPM,24-03-2020,1,0,5,0,
41,PKD,24-03-2020,1,0,1,0,
42,TVM,24-03-2020,1,0,5,0,
43,EKM,25-03-2020,3,0,17,0,
44,IDK,25-03-2020,1,0,2,0,
45,KKD,25-03-2020,1,0,5,0,
46,PKD,25-03-2020,2,0,3,0,
47,PTA,25-03-2020,2,0,12,0,
48,TSR,25-03-2020,0,1,1,0,
49,TVM,25-03-2020,0,1,4,0,
50,EKM,26-03-2020,0,4,13,0,
51,IDK,26-03-2020,1,0,3,0,
52,KGD,26-03-2020,3,0,47,0,
53,KNR,26-03-2020,9,1,23,0,
54,MPM,26-03-2020,3,0,8,0,
55,PTA,26-03-2020,0,1,11,0,
56,TSR,26-03-2020,2,0,3,0,
57,WYD,26-03-2020,1,0,1,0,
58,KGD,27-03-2020,34,0,81,0,
59,KKD,27-03-2020,1,0,6,0,
60,KLM,27-03-2020,1,0,1,0,
61,KNR,27-03-2020,2,0,25,0,
62,TSR,27-03-2020,1,0,4,0,
63,EKM,28-03-2020,0,0,12,1,
64,IDK,28-03-2020,0,1,7,0,
65,KGD,28-03-2020,1,0,82,0,
66,KLM,28-03-2020,1,0,2,0,
67,KTM,28-03-2020,0,2,1,0,
68,MPM,28-03-2020,1,0,9,0,
69,PKD,28-03-2020,1,0,4,0,
70,TVM,28-03-2020,2,1,5,0,
71,EKM,29-03-2020,1,0,13,0,
72,KGD,29-03-2020,7,0,89,0,
73,KNR,29-03-2020,8,0,33,0,
74,MPM,29-03-2020,1,0,10,0,
75,PKD,29-03-2020,1,0,5,0,
76,PTA,29-03-2020,0,4,7,0,
77,TSR,29-03-2020,1,0,5,0,
78,TVM,29-03-2020,1,0,6,0,
79,IDK,30-03-2020,2,0,5,0,
80,KGD,30-03-2020,17,0,106,0,
81,KNR,30-03-2020,11,0,44,0,
82,WYD,30-03-2020,2,0,3,0,
83,KGD,31-03-2020,2,0,108,0,
84,KLM,31-03-2020,1,0,3,0,
85,KNR,31-03-2020,1,2,43,0,
86,PTA,31-03-2020,0,2,5,0,
87,TSR,31-03-2020,1,0,6,0,
88,TVM,31-03-2020,2,0,7,1,
89,EKM,01-04-2020,3,0,16,0,
90,KGD,01-04-2020,12,0,120,0,
91,KKD,01-04-2020,0,1,5,0,
92,KNR,01-04-2020,2,0,45,0,
93,MPM,01-04-2020,2,0,12,0,
94,PKD,01-04-2020,1,0,6,0,
95,TSR,01-04-2020,2,0,8,0,
96,TVM,01-04-2020,2,1,8,0,
97,IDK,02-04-2020,5,0,10,0,
98,KGD,02-04-2020,8,0,128,0,
99,KKD,02-04-2020,1,0,6,0,
100,KLM,02-04-2020,2,0,5,0,
101,KNR,02-04-2020,1,0,46,0,
102,MPM,02-04-2020,1,1,12,0,
103,PTA,02-04-2020,1,0,6,0,
104,TSR,02-04-2020,1,0,9,0,
105,TVM,02-04-2020,1,1,8,0,
106,IDK,03-04-2020,0,2,8,0,
107,KGD,03-04-2020,7,4,131,0,
108,KKD,03-04-2020,0,1,5,0,
109,KNR,03-04-2020,1,5,42,0,
110,KTM,03-04-2020,0,1,0,0,
111,PTA,03-04-2020,0,1,5,0,
112,TSR,03-04-2020,1,0,10,0,
113,ALP,04-04-2020,1,0,2,0,
114,EKM,04-04-2020,1,0,17,0,
115,KGD,04-04-2020,6,0,137,0,
116,KLM,04-04-2020,1,0,6,0,
117,KNR,04-04-2020,1,7,36,0,
118,PKD,04-04-2020,1,0,7,0,
119,TVM,04-04-2020,0,1,7,0,
120,KGD,05-04-2020,1,0,138,0,
121,KKD,05-04-2020,5,1,9,0,
122,KNR,05-04-2020,1,4,33,0,
123,MPM,05-04-2020,0,1,11,0,
124,PTA,05-04-2020,1,0,6,0,
125,KGD,06-04-2020,9,0,147,0,
126,KLM,06-04-2020,1,1,6,0,
127,KNR,06-04-2020,0,1,32,0,
128,MPM,06-04-2020,2,0,13,0,
129,PTA,06-04-2020,1,0,7,0,
130,TSR,06-04-2020,0,1,9,0,
131,ALP,07-04-2020,0,1,1,0,
132,EKM,07-04-2020,0,4,13,0,
133,KGD,07-04-2020,4,1,150,0,
134,KLM,07-04-2020,1,0,7,0,
135,KNR,07-04-2020,2,5,29,0,
136,MPM,07-04-2020,1,0,14,0,
137,TVM,07-04-2020,0,1,6,0,
138,ALP,08-04-2020,2,0,3,0,
139,IDK,08-04-2020,0,2,5,0,
140,KGD,08-04-2020,1,0,151,0,
141,KKD,08-04-2020,0,2,7,0,
142,KLM,08-04-2020,0,1,6,0,
143,KNR,08-04-2020,4,1,32,0,
144,PTA,08-04-2020,1,0,8,0,
145,TSR,08-04-2020,1,3,7,0,
146,TVM,08-04-2020,0,2,4,0,
147,WYD,08-04-2020,0,2,1,0,
148,EKM,09-04-2020,0,4,9,0,
149,IDK,09-04-2020,0,2,3,0,
150,KGD,09-04-2020,4,0,155,0,
151,KLM,09-04-2020,1,0,7,0,
152,KNR,09-04-2020,4,5,31,0,
153,MPM,09-04-2020,2,2,14,0,
154,TVM,09-04-2020,1,0,5,0,
155,EKM,10-04-2020,0,1,8,0,
156,KGD,10-04-2020,3,18,140,0,
157,KKD,10-04-2020,0,1,6,0,
158,KNR,10-04-2020,2,6,27,0,
159,MPM,10-04-2020,2,0,16,0,
160,TSR,10-04-2020,0,1,6,0,
161,IDK,11-04-2020,0,2,1,0,
162,KGD,11-04-2020,2,9,133,0,
163,KKD,11-04-2020,1,0,7,0,
164,KNR,11-04-2020,7,0,34,0,
165,PKD,11-04-2020,0,4,3,0,
166,TSR,11-04-2020,0,1,5,0,
167,TVM,11-04-2020,0,3,2,0,
168,IDK,12-04-2020,0,1,0,0,
169,KGD,12-04-2020,0,28,105,0,
170,KKD,12-04-2020,0,1,6,0,
171,KNR,12-04-2020,1,0,35,0,
172,MPM,12-04-2020,0,6,10,0,
173,PTA,12-04-2020,1,0,9,0,
174,KGD,13-04-2020,0,12,93,0,
175,KNR,13-04-2020,2,1,36,0,
176,PKD,13-04-2020,1,0,4,0,
177,PTA,13-04-2020,0,3,6,0,
178,TSR,13-04-2020,0,3,2,0,
179,EKM,14-04-2020,0,2,6,0,
180,KGD,14-04-2020,1,6,88,0,
181,KKD,14-04-2020,3,0,9,0,
182,KLM,14-04-2020,0,1,6,0,
183,KNR,14-04-2020,4,0,40,0,
184,MPM,14-04-2020,0,1,9,0,
185,PKD,14-04-2020,0,2,2,0,
186,TSR,14-04-2020,0,1,1,0,
187,KGD,15-04-2020,0,4,84,0,
188,KKD,15-04-2020,0,2,7,0,
189,KLM,15-04-2020,0,1,5,0,
190,KNR,15-04-2020,1,0,41,0,
191,EKM,16-04-2020,0,1,5,0,
192,KGD,16-04-2020,1,24,61,0,
193,KKD,16-04-2020,2,0,9,0,
194,KNR,16-04-2020,4,1,44,0,
195,MPM,16-04-2020,0,1,8,0,
196,ALP,17-04-2020,0,1,2,0,
197,EKM,17-04-2020,0,2,3,0,
198,KGD,17-04-2020,0,6,55,0,
199,KKD,17-04-2020,1,0,10,0,
200,MPM,17-04-2020,0,1,7,0,
201,KGD,18-04-2020,0,2,53,0,
202,KKD,18-04-2020,1,0,11,0,
203,KNR,18-04-2020,3,0,47,0,
204,KGD,19-04-2020,1,8,46,0,
205,KNR,19-04-2020,1,3,45,0,
206,MPM,19-04-2020,0,1,6,0,
207,TSR,19-04-2020,0,1,0,0,
208,ALP,20-04-2020,0,2,0,0,
209,KGD,20-04-2020,0,19,27,0,
210,KNR,20-04-2020,6,0,51,0,
211,KGD,21-04-2020,3,4,26,0,
212,KKD,21-04-2020,0,2,9,0,
213,KLM,21-04-2020,1,0,6,0,
214,KNR,21-04-2020,10,9,52,0,
215,MPM,21-04-2020,1,0,7,0,
216,PKD,21-04-2020,4,0,6,0,
217,TVM,21-04-2020,0,1,1,0,
218,KKD,22-04-2020,2,0,11,0,
219,KNR,22-04-2020,7,0,59,0,
220,KTM,22-04-2020,1,0,1,0,
221,MPM,22-04-2020,1,0,8,0,
222,PKD,22-04-2020,0,1,5,0,
223,IDK,23-04-2020,4,0,4,0,
224,KGD,23-04-2020,0,6,20,0,
225,KKD,23-04-2020,2,0,13,0,
226,KLM,23-04-2020,1,0,7,0,
227,KNR,23-04-2020,0,1,58,0,
228,KTM,23-04-2020,2,0,3,0,
229,MPM,23-04-2020,0,1,7,0,
230,TVM,23-04-2020,1,0,2,0,
231,KGD,24-04-2020,3,5,18,0,
232,KLM,24-04-2020,0,1,6,0,
233,KNR,24-04-2020,0,3,55,0,
234,MPM,24-04-2020,0,3,3,1,
235,PTA,24-04-2020,0,3,3,0,
236,KGD,25-04-2020,0,2,16,0,
237,KKD,25-04-2020,0,2,11,0,
238,KLM,25-04-2020,3,0,9,0,
239,KNR,25-04-2020,1,2,54,0,
240,KTM,25-04-2020,3,0,6,0,
241,WYD,25-04-2020,0,1,0,0,
242,IDK,26-04-2020,6,0,10,0,
243,KGD,26-04-2020,0,1,15,0,
244,KNR,26-04-2020,0,1,53,0,
245,KTM,26-04-2020,5,0,11,0,
246,MPM,26-04-2020,0,1,2,0,
247,TVM,26-04-2020,0,1,1,0,
248,EKM,27-04-2020,0,1,2,0,
249,IDK,27-04-2020,4,0,14,0,
250,KKD,27-04-2020,0,4,7,0,
251,KNR,27-04-2020,1,6,48,0,
252,KTM,27-04-2020,6,0,17,0,
253,MPM,27-04-2020,1,1,2,0,
254,PKD,27-04-2020,1,0,6,0,
255,TVM,27-04-2020,0,1,0,0,
256,KGD,28-04-2020,1,2,14,0,
257,KNR,28-04-2020,3,2,49,0,
258,KGD,29-04-2020,1,3,12,0,
259,KKD,29-04-2020,0,3,4,0,
260,KLM,29-04-2020,6,0,15,0,
261,KNR,29-04-2020,1,3,47,0,
262,PTA,29-04-2020,0,1,2,0,
263,TVM,29-04-2020,2,0,2,0,
264,KGD,30-04-2020,1,2,11,0,
265,KKD,30-04-2020,0,1,3,0,
266,KLM,30-04-2020,0,3,12,0,
267,KNR,30-04-2020,0,2,45,0,
268,MPM,30-04-2020,1,1,2,0,
269,PKD,30-04-2020,0,4,2,0,
270,PTA,30-04-2020,0,1,1,0,
271,EKM,01-05-2020,0,1,1,0,
272,KGD,01-05-2020,0,4,7,0,
273,KNR,01-05-2020,0,4,41,0,
274,IDK,02-05-2020,0,2,12,0,
275,KNR,02-05-2020,1,6,36,0,
276,WYD,02-05-2020,1,0,1,0,
277,KGD,03-05-2020,0,1,6,0,
278,IDK,04-05-2020,0,10,2,0,
279,KGD,04-05-2020,0,3,3,0,
280,KKD,04-05-2020,0,3,0,0,
281,KLM,04-05-2020,0,9,3,0,
282,KNR,04-05-2020,0,19,17,0,
283,KTM,04-05-2020,0,12,5,0,
284,MPM,04-05-2020,0,2,0,0,
285,PKD,04-05-2020,0,1,1,0,
286,TVM,04-05-2020,0,2,0,0,
287,WYD,05-05-2020,3,0,4,0,
288,IDK,06-05-2020,0,1,1,0,
289,KTM,06-05-2020,0,5,0,0,
290,PTA,06-05-2020,0,1,0,0,
291,KGD,07-05-2020,0,2,1,0,
292,KNR,07-05-2020,0,3,14,0,
293,EKM,08-05-2020,1,0,2,0,
294,KNR,08-05-2020,0,10,4,0,
295,IDK,09-05-2020,0,1,0,0,
296,MPM,09-05-2020,2,0,2,0,
297,EKM,10-05-2020,1,0,3,0,
298,KGD,10-05-2020,0,1,0,0,
299,KNR,10-05-2020,0,2,2,0,
300,MPM,10-05-2020,1,0,3,0,
301,PKD,10-05-2020,0,1,0,0,
302,TSR,10-05-2020,2,0,2,0,
303,WYD,10-05-2020,3,0,7,0,
304,KGD,11-05-2020,4,0,4,0,
305,MPM,11-05-2020,1,0,4,0,
306,PKD,11-05-2020,1,0,1,0,
307,WYD,11-05-2020,1,0,8,0,
308,KTM,12-05-2020,1,0,1,0,
309,MPM,12-05-2020,3,0,7,0,
310,PTA,12-05-2020,1,0,1,0,
311,KKD,13-05-2020,1,0,1,0,
312,KLM,13-05-2020,0,1,2,0,
313,KNR,13-05-2020,1,0,3,0,
314,KTM,13-05-2020,1,0,2,0,
315,MPM,13-05-2020,3,0,10,0,
316,PKD,13-05-2020,2,0,3,0,
317,WYD,13-05-2020,2,0,10,0,
318,IDK,14-05-2020,1,0,1,0,
319,KGD,14-05-2020,10,0,14,0,
320,KKD,14-05-2020,1,0,2,0,
321,KLM,14-05-2020,0,2,0,0,
322,KNR,14-05-2020,2,1,4,0,
323,MPM,14-05-2020,5,0,15,0,
324,PKD,14-05-2020,3,0,6,0,
325,PTA,14-05-2020,1,0,2,0,
326,WYD,14-05-2020,3,0,13,0,
327,ALP,15-05-2020,2,0,2,0,
328,KGD,15-05-2020,1,0,15,0,
329,KKD,15-05-2020,2,0,4,0,
330,KLM,15-05-2020,1,0,1,0,
331,MPM,15-05-2020,4,0,19,0,
332,PKD,15-05-2020,1,0,7,0,
333,WYD,15-05-2020,5,0,18,0,
334,KKD,16-05-2020,3,0,7,0,
335,KNR,16-05-2020,0,2,2,0,
336,MPM,16-05-2020,2,0,21,0,
337,PKD,16-05-2020,2,0,9,0,
338,TSR,16-05-2020,4,0,6,0,
339,WYD,16-05-2020,0,2,16,0,
340,EKM,17-05-2020,1,0,4,0,
341,KGD,17-05-2020,1,0,16,0,
342,KKD,17-05-2020,2,0,9,0,
343,KLM,17-05-2020,1,0,2,0,
344,KNR,17-05-2020,2,0,4,0,
345,MPM,17-05-2020,4,0,25,0,
346,PKD,17-05-2020,2,0,11,0,
347,TSR,17-05-2020,1,0,7,0,
348,ALP,18-05-2020,2,0,4,0,
349,EKM,18-05-2020,1,0,5,0,
350,KGD,18-05-2020,2,0,18,0,
351,KKD,18-05-2020,2,0,11,0,
352,KLM,18-05-2020,5,0,7,0,
353,KNR,18-05-2020,3,0,7,0,
354,KTM,18-05-2020,2,0,4,0,
355,MPM,18-05-2020,1,0,26,0,
356,PKD,18-05-2020,1,0,12,0,
357,PTA,18-05-2020,2,0,4,0,
358,TSR,18-05-2020,4,0,11,0,
359,TVM,18-05-2020,4,0,4,0,
360,ALP,19-05-2020,1,0,5,0,
361,KNR,19-05-2020,5,0,12,0,
362,MPM,19-05-2020,3,0,29,0,
363,PKD,19-05-2020,1,0,13,0,
364,PTA,19-05-2020,1,0,5,0,
365,TSR,19-05-2020,1,0,12,0,
366,ALP,20-05-2020,1,0,6,0,
367,EKM,20-05-2020,1,0,6,0,
368,KGD,20-05-2020,1,1,18,0,
369,KKD,20-05-2020,1,0,12,0,
370,KNR,20-05-2020,3,1,14,0,
371,MPM,20-05-2020,4,0,33,0,
372,PKD,20-05-2020,7,0,20,0,
373,PTA,20-05-2020,2,0,7,0,
374,TSR,20-05-2020,2,2,12,0,
375,TVM,20-05-2020,2,0,6,0,
376,WYD,20-05-2020,0,1,15,0,
377,ALP,21-05-2020,2,0,8,0,
378,EKM,21-05-2020,0,1,5,0,
379,IDK,21-05-2020,1,0,2,0,
380,KGD,21-05-2020,1,0,19,0,
381,KKD,21-05-2020,0,1,11,0,
382,KLM,21-05-2020,2,0,9,0,
383,KNR,21-05-2020,4,0,18,0,
384,KTM,21-05-2020,3,1,6,0,
385,MPM,21-05-2020,5,1,37,0,
386,PKD,21-05-2020,1,0,21,0,
387,TSR,21-05-2020,3,0,15,0,
388,TVM,21-05-2020,2,0,8,0,
389,WYD,21-05-2020,0,4,11,0,
390,KGD,22-05-2020,7,0,26,0,
391,KKD,22-05-2020,5,0,16,0,
392,KLM,22-05-2020,1,0,10,0,
393,KNR,22-05-2020,12,0,30,0,
394,KTM,22-05-2020,2,0,8,0,
395,MPM,22-05-2020,4,2,39,0,
396,PKD,22-05-2020,5,0,26,0,
397,PTA,22-05-2020,1,0,8,0,
398,TSR,22-05-2020,4,0,18,1,
399,WYD,22-05-2020,1,0,12,0,
400,ALP,23-05-2020,5,0,13,0,
401,KGD,23-05-2020,4,1,29,0,
402,KKD,23-05-2020,4,0,20,0,
403,KLM,23-05-2020,3,1,12,0,
404,KNR,23-05-2020,16,0,46,0,
405,KTM,23-05-2020,2,1,9,0,
406,MPM,23-05-2020,8,0,47,0,
407,PKD,23-05-2020,19,0,45,0,
408,WYD,23-05-2020,1,0,13,0,
409,ALP,24-05-2020,4,0,17,0,
410,EKM,24-05-2020,4,0,9,0,
411,KGD,24-05-2020,5,2,32,0,
412,KKD,24-05-2020,1,0,21,0,
413,KLM,24-05-2020,3,0,15,0,
